code,city_name,area_name,region_name
A_01_0600,臺北市,松山區,西松段一小段
A_01_0601,臺北市,松山區,西松段二小段
A_01_0602,臺北市,松山區,美仁段一小段
A_01_0603,臺北市,松山區,美仁段二小段
A_01_0604,臺北市,松山區,寶清段一小段
A_01_0605,臺北市,松山區,寶清段二小段
A_01_0606,臺北市,松山區,寶清段三小段
A_01_0607,臺北市,松山區,寶清段四小段
A_01_0608,臺北市,松山區,寶清段五小段
A_01_0609,臺北市,松山區,延吉段一小段
A_01_0611,臺北市,松山區,延吉段三小段
A_01_0613,臺北市,松山區,延壽段一小段
A_01_0614,臺北市,松山區,敦化段一小段
A_01_0615,臺北市,松山區,敦化段二小段
A_01_0616,臺北市,松山區,敦化段三小段
A_01_0620,臺北市,松山區,濱江段一小段
A_01_0621,臺北市,松山區,濱江段二小段
A_01_0623,臺北市,松山區,濱江段四小段
A_01_0655,臺北市,松山區,民生段
A_01_0704,臺北市,松山區,西松段三小段
A_01_0705,臺北市,松山區,敦化段四小段
A_01_0706,臺北市,松山區,敦化段五小段
A_01_0711,臺北市,松山區,寶清段六小段
A_01_0712,臺北市,松山區,寶清段七小段
A_02_0021,臺北市,大安區,龍泉段一小段
A_02_0022,臺北市,大安區,龍泉段二小段
A_02_0023,臺北市,大安區,龍泉段三小段
A_02_0200,臺北市,大安區,金華段一小段
A_02_0201,臺北市,大安區,金華段二小段
A_02_0202,臺北市,大安區,金華段三小段
A_02_0203,臺北市,大安區,金華段四小段
A_02_0207,臺北市,大安區,瑞安段一小段
A_02_0208,臺北市,大安區,瑞安段二小段
A_02_0209,臺北市,大安區,瑞安段三小段
A_02_0210,臺北市,大安區,瑞安段四小段
A_02_0211,臺北市,大安區,通化段一小段
A_02_0212,臺北市,大安區,通化段二小段
A_02_0213,臺北市,大安區,通化段三小段
A_02_0214,臺北市,大安區,通化段四小段
A_02_0215,臺北市,大安區,通化段五小段
A_02_0216,臺北市,大安區,通化段六小段
A_02_0217,臺北市,大安區,仁愛段一小段
A_02_0218,臺北市,大安區,仁愛段二小段
A_02_0219,臺北市,大安區,仁愛段三小段
A_02_0220,臺北市,大安區,仁愛段四小段
A_02_0221,臺北市,大安區,學府段一小段
A_02_0222,臺北市,大安區,學府段二小段
A_02_0223,臺北市,大安區,學府段三小段
A_02_0224,臺北市,大安區,學府段四小段
A_02_0225,臺北市,大安區,復興段一小段
A_02_0226,臺北市,大安區,復興段二小段
A_02_0227,臺北市,大安區,復興段三小段
A_02_0228,臺北市,大安區,大安段一小段
A_02_0229,臺北市,大安區,大安段二小段
A_02_0230,臺北市,大安區,大安段三小段
A_02_0235,臺北市,大安區,懷生段一小段
A_02_0236,臺北市,大安區,懷生段二小段
A_02_0237,臺北市,大安區,懷生段三小段
A_02_0238,臺北市,大安區,懷生段四小段
A_02_0239,臺北市,大安區,辛亥段一小段
A_02_0241,臺北市,大安區,辛亥段三小段
A_02_0242,臺北市,大安區,辛亥段四小段
A_02_0243,臺北市,大安區,辛亥段五小段
A_02_1201,臺北市,大安區,仁愛段五小段
A_02_1202,臺北市,大安區,仁愛段六小段
A_02_1203,臺北市,大安區,辛亥段六小段
A_03_0001,臺北市,中正區,永昌段一小段
A_03_0002,臺北市,中正區,永昌段二小段
A_03_0003,臺北市,中正區,永昌段三小段
A_03_0004,臺北市,中正區,永昌段四小段
A_03_0005,臺北市,中正區,永昌段五小段
A_03_0008,臺北市,中正區,河堤段一小段
A_03_0009,臺北市,中正區,河堤段二小段
A_03_0010,臺北市,中正區,河堤段三小段
A_03_0011,臺北市,中正區,河堤段四小段
A_03_0012,臺北市,中正區,河堤段五小段
A_03_0013,臺北市,中正區,河堤段六小段
A_03_0014,臺北市,中正區,南海段一小段
A_03_0015,臺北市,中正區,南海段二小段
A_03_0016,臺北市,中正區,南海段三小段
A_03_0017,臺北市,中正區,南海段四小段
A_03_0018,臺北市,中正區,南海段五小段
A_03_0019,臺北市,中正區,福和段一小段
A_03_0020,臺北市,中正區,福和段二小段
A_03_0157,臺北市,中正區,永昌段六小段
A_03_0204,臺北市,中正區,中正段一小段
A_03_0205,臺北市,中正區,中正段二小段
A_03_0206,臺北市,中正區,中正段三小段
A_03_0231,臺北市,中正區,臨沂段一小段
A_03_0232,臺北市,中正區,臨沂段二小段
A_03_0233,臺北市,中正區,臨沂段三小段
A_03_0234,臺北市,中正區,臨沂段四小段
A_03_0248,臺北市,中正區,成功段一小段
A_03_0249,臺北市,中正區,成功段二小段
A_03_0250,臺北市,中正區,成功段三小段
A_03_0251,臺北市,中正區,公園段一小段
A_03_0252,臺北市,中正區,公園段二小段
A_03_0253,臺北市,中正區,公園段三小段
A_03_0254,臺北市,中正區,城中段一小段
A_03_0255,臺北市,中正區,城中段二小段
A_03_0256,臺北市,中正區,城中段三小段
A_05_0006,臺北市,萬華區,青年段一小段
A_05_0007,臺北市,萬華區,青年段二小段
