code,array
A01,"['第三之二種住宅區', '中住二', '特一種住宅區', '住(再)', '乙種住宅區', '中住一', '特住', '特一住', '第三種住宅區（特）', '乙住', '已開發建築密集地區', '第三之一種住宅區', '住宅區', '中密度住宅區', '第五之一種住宅區', '高住二', '第七種住宅區', '住宅區（再發展區）', '第二種低密度住宅區', '住一之A', '第二種中密度住宅區', '住二之A', '第三種低密度住宅區', '低密度住宅區（特）', '低住(特)', '市民住宅區', '傳建', '工住', '住五', '勞住', '特二住', '住三(特)', '住五(特)', '第一之C種住宅區', '住宅區（供社會住宅使用）', '第三之一種住宅區（特）', '工業住宅區', '傳統建築區', '第三之二種住宅區（特）', '勞工住宅區', '丙住', '住六', '住(商混)', '第二之一種住宅區', '低住', '住五之一', '住一之B', '住三之二(特)', '住四(特)', '高住', '住宅區（住商混合）', '低住二', '住四之一', '第一之二種住宅區', '高密度住宅區', '住三', '住四之一(特)', '特定住宅區', '第一之B種住宅區', '住二', '住三之二', '中住', '住一之C', '第四種住宅區（特）', '第一之三種住宅區', '特種住宅區', '住四', '第二種住宅區', '特二種住宅區', '住(更)', '住二之二', '住三之一', '第四之一種住宅區（特）', '第一種低密度住宅區', '社會住宅', '住一', '住二之一', '國住', '第五種住宅區（特）', '低住一', '住(限)', '第一之一種住宅區', '低密度住宅區', '第一種住宅區', '第二種高密度住宅區', '傳統住', '住', '第二之二種住宅區', '斷層帶住宅限建區', '住三之一(特)', '第四之一種住宅區', '甲住', '第二之A種住宅區', '丙種住宅區', '住一之一', '自然村', '傳統住宅區', '第四種住宅區', '專案住宅區', '住宅區（都市更新地區）', '特別住宅區', '第一之A種住宅區', '第一種高密度住宅區', '住一之二', '第六種住宅區', '專住', '甲種住宅區', '第三種住宅區', '第二種住宅區（特）', '第五種住宅區', '國民住宅區', '高住一', '住一之三', '住二(特)', '住七', '第一種中密度住宅區', '市住', '住二之三', '低住三', '第二之三種住宅區']"
A02,"['工商混合區', '辦公園區', '商三(特)', '中商一', '第五種商業區', '商一之二', '第二種海濱商業區', '海濱商業區', '商(再)', '第五之一種商業區', '商二', '商六', '商四', '第六種商業區', '工商', '第三種中心商業區', '工商綜合區', '聯合開發區', '濱商二', '第二之一種商業區', '景觀商業區', '業務設施區', '休閒商務區', '街商', '商一之一', '辦公', '科技商務區', '第一之一種商業區', '鄰商', '商業區', '第三種商業區（特）', '第三種商業區', '購物中心區', '辦', '第一種商業區（特）', '第二種中心商業區', '第二之一種中心商業區', '第四之一種商業區', '經貿園區', '景商', '第一之二種商業區', '辦公服務區', '第一種海濱商業區', '聯合開發', '第一之一種中心商業區', '中商一之一', '特商', '沿街商業區', '鄰里商業區', '第三之一種商業區', '中心商業區', '中商二之一', '社商', '遊樂商業中心區', '第三種商業區(特)(遷)', '展', '國家公園區商業用地', '第一種商業區', '社區中心商業區', '商五', '社區商業區', '工商服務展售區', '商業區（再發展區）', '第一種中心商業區', '商四之一', '商二(特)', '休閒商務', '商三', '商二之一', '港商', '商一(特)', '中商', '商', '商一', '經貿', '特業', '濱商', '購物中心', '中商二', '第四種商業區（特）', '特種商業區', '科技商務', '副都心商業區', '商三特(遷)', '業設', '第四種商業區', '中商三之一', '遊商', '商四(特)', '複合商業區', '商三之一', '第三之一種中心商業區', '中商三', '特定商業區', '商五之一', '副都心', '港埠商業區', '第二種商業區（特）', '濱商一', '鄰里中心商業區', '第二種商業區', '特定業務區']"
A03,"['工業區（倉儲使用）', '軟工', '工業區（砂石專業使用）', '產業服務區', '工業區（供相關產業使用）', '第二種工業區', '手工藝區', '策工', '科技工業區', '貨轉中心', '第四種工業區', '工(相)', '工(倉)', '工五', '汽工', '園區工業區', '第一種工業區', '特工', '工一', '石專工', '甲工', '第三種工業區', '工', '產服', '石油專業工業區', '零星工業區供作停車場使用', '輕工', '軟體工業區', '工四', '甲種工業區', '貨物轉運中心區', '工二', '貨櫃貨物轉運中心區', '零工(停)', '手工藝', '工業區（供生產事業使用）', '特種工業區', '工(生)', '工業區', '工(砂專)', '汽車修護展售工業區', '第五種工業區', '輕工業區', '園工', '策略型工業區', '零星工業區', '第二之一種工業區', '工二之一', '工三', '零工', '乙種工業區', '科工', '乙工']"
A04,"['行', '行政區', '社區中心', '社區中心區']"
A05,"['文', '文教區', '文事研究中心區', '文化園區', '社', '文事研究中心', '山文', '山地文化區', '文化', '社教區']"
A06,"['運', '體育運動區', '運動設施區', '體']"
A07,"['特', '珊瑚礁', '野生動物保護區', '保一', '水源特定保護區', '地景', '珊瑚礁保護區', '景觀保護區', '第四種保護區', '海域資源保育區', '特殊地質景觀保護區', '保三', '地質', '保二', '古跡', '國家公園區保育用地', '特別保護區', '第一種保護區', '自然景觀', '第二種保護區', '生態保護區', '地質保護區', '自然景觀保護區', '第三種保護區', '保護區', '野', '保', '古蹟保護區', '水源', '生態', '保安保護區', '水庫保護區', '海保', '景觀', '保安', '水庫', '保四']"
A08,"['農(限)', '農業區', '農', '斷層帶農業限建區', '觀果', '觀光果園區']"
A09,"['寺廟保存區', '古存', '客家文化保存區', '第二種寺廟保存區', '第一種保存區', '第二種保存區', '保存區', '歷史空間保存區', '存一', '存', '宗存', '寺存', '寺存一', '古蹟保存區', '傳存', '第一種寺廟保存區', '歷存', '寺存二', '傳統聚落保存區', '宗教保存區', '客存', '存二']"
A10,"['漁', '漁港區', '水產養殖區', '漁業區', '水產']"
