name,code,total_code
總登記,1,6
第一次登記,2,6
地籍圖重測,3,5
土地重劃,4,5
回復,5,5
分割,6,7
逕為分割,7,7
判決分割,8,7
和解分割,9,7
調解分割,10,7
合併,11,11
更正,12,
更正編定,14,
使用編定,15,
變更編定,16,
等則調整,17,
地目變更,18,5
逕為地目變更,19,5
部分滅失,20,5
滅失,21,5
區段徵收,22,
地目等則調整,23,
行政區域調整,24,
段界調整,25,5
地籍整理,26,
門牌整編,28,
基地號變更,29,
增建,30,
改建,31,
查封,33,
塗銷查封,34,
判決共有物分割,35,7
和解共有物分割,36,7
調解共有物分割,37,7
共有物分割,38,7
法人合併,39,11
住址更正,40,
更名,41,
夫妻聯合財產更名,42,
姓名更正,43,
統一編號更正,44,
管理者變更,46,
住址變更,48,
假扣押,49,
假處分,50,
破產登記,51,6
禁止處分,52,
塗銷預告登記,53,6
塗銷假扣押,54,
塗銷假處分,55,
塗銷破產登記,56,6
塗銷禁止處分,57,
預告登記,58,6
書狀補給,59,
書狀換給,60,
判決回復所有權,61,
耕作權期間屆滿,62,
典權回贖除斥期滿,63,
買賣,64,3
贈與,65,2
遺贈,66,2
拍賣,67,9
繼承,68,1
拋棄,69,1
徵收,70,
放領,71,
照價收買,72,
交換,73,4
判決繼承,74,1
和解繼承,75,1
調解繼承,76,1
判決移轉,80,
和解移轉,81,
調解移轉,82,
設定,83,
權利價值變更,85,
存續期間變更,86,
清償日期變更,87,
利息變更,88,
地租變更,89,
義務人變更,90,
債務人及債務額比例變更,91,
權利範圍變更,92,
部份清償,93,
部份拋棄,94,1
轉典,95,
讓與,96,2
判決設定,97,
和解設定,98,
調解設定,99,
判決塗銷,AB,
和解塗銷,AC,
調解塗銷,AD,
混同,AE,
清償,AF,
擔保物減少,AG,
擔保物增加,AH,
界址調整,AJ,
解除編定,AK,
註銷編定,AL,
補辦編定,AM,
補註用地別,AN,
和解回復所有權,AP,8
調解回復所有權,AQ,8
法定,AR,
權利分割,AS,7
權利合併,AT,11
未登記建物查封,AU,
註記,AX,
塗銷註記,AY,
抵繳稅款,AZ,
解散,BA,
發還,BB,
收歸國有,BC,
無償撥用,BD,
自耕保留地持分交換,BE,4
地上權期間屆滿,BF,
時效取得,BG,
分割繼承,BH,1
遺產管理人登記,BJ,
遺囑執行人登記,BK,
保全處分,BL,
破產管理人登記,BM,
撤銷,BN,
訴願決定撤銷,BP,
撤銷徵收,BQ,
次序變更,BR,
權利內容等變更,BS,
存續期間屆滿,BT,
截止記載,BU,
失蹤人財產管理人,BV,
有償撥用,BW,
查封部分塗銷,BX,
法院囑託塗銷,BY,
共有型態變更,BZ,
回贖,CA,
建物主要用途變更,CB,
地建號更正,CC,
墾竣,CD,
廢止撥用,CE,
法院囑託回復,CF,
接管,CG,
修建,CH,
出生日期更正,CJ,
逕為塗銷,CL,
名義更正,CM,
遺漏更正,CN,
違約金變更,CP,
調處移轉,CQ,
執行命令,CR,
代表人變更,CS,
塗銷遺產管理人登記,CT,6
信託,CU,10
受託人變更,CV,
塗銷信託,CW,10
信託歸屬,CX,10
信託取得,CY,10
塗銷保全處分,CZ,
領回抵價地,DA,
夫妻贈與,DB,2
分區調整,DC,5
剩餘財產差額分配,DD,1
賸餘財產分派,DE,1
持分合併,DF,11
耕地租約終止,DG,
地籍圖修正測量,DH,5
領回土地,DI,
預為抵押權,DJ,
面積更正,DK,5
逕為合併,DL,7
調處分割,DM,7
調處共有物分割,DN,7
徵收失效,DO,
轉換,DP,4
持分分割,DQ,7
法人分割,DR,7
塗銷地目,DS,
權利變換,DT,4
法人收購,DU,3
改設醫療法人,DV,4
遺囑繼承,DW,1
遺產清理人登記,DX,
次序讓與,DY,
次序相對拋棄,DZ,1
次序絕對拋棄,EA,1
擔保債權確定期日變更,EB,
流抵約定變更,EC,
其他擔保範圍約定變更,ED,
擔保債權種類及範圍變更,EE,
限定擔保債權金額變更,EF,
分割讓與,EG,2
權利種類變更,EH,
地籍清理塗銷,EI,
地籍清理擔保物減少,EK,
囑託塗銷,EL,
退股,EM,
地籍清理權利範圍變更,EN,5
地籍清理權利內容等變更,EO,5
設定目的變更,EP,5
預付地租情形變更,EQ,5
使用方法變更,ER,5
讓與或設定抵押權限制變更,ES,
絕賣條款變更,ET,
典物轉典或出租限制變更,EU,
絕賣,EV,
終止,EW,
法定塗銷,EX,
酌給遺產,EY,1
退稅,EZ,
廢止徵收,FA,
暫時處分,FB,
塗銷暫時處分,FC,
